,ticker,company_name,NASDAQ_sector
17,CINF,Cincinnati Financial Corporation Common Stock,Financial
18,BLMIF,Bank Leumi Le Israel,Financial
19,GBOOF,Grupo Fin Banorte  Ord,Financial
0,JBAXY,Julius Baer Group Ltd. ADR,Financial
1,SBGOF,Standard Bank Group Ltd,Financial
2,AZRGF,Azrieli Group Ltd,Financial
3,MGP,MGM Growth Properties LLC Class A common shares representing limited liability company interests,Financial
4,WU,Western Union Company (The) Common Stock,Financial
5,HBAN,Huntington Bancshares Incorporated Common Stock,Financial
6,CIMDF,Cimb Group Hldgs Bhd Ord,Financial
7,BKHYY,Bank Hapoalim B.M. ADR (Sponsored),Financial
8,SEIC,SEI Investments Company Common Stock,Financial
9,STGPF,Scentre Group,Financial
10,EQH,"Equitable Holdings, Inc. Common Stock",Financial
11,DSECF,Daiwa Securities Group Inc.,Financial
12,SGBLY,Standard Bank Group Ltd ADR (Sponsored),Financial
13,IAUGF,Insurance Australia Group Ltd,Financial
14,SPXCY,Singapore Exchange Ltd ADR,Financial
15,JREIF,JREIF,Financial
16,GL,Globe Life Inc. Common Stock,Financial
17,SPXCF,Singapore Exchange Ltd,Financial
18,SNMYF,Suncorp Group Ltd.,Financial
19,ACDSF,Ascendas Rl Est Invt Tr,Financial
0,CCRDF,Concordia Financial Group Ltd,Financial
1,VICI,VICI Properties Inc. Common Stock,Financial
2,BSAC,Banco Santander - Chile ADS,Financial
3,QBEIF,QBE Insurance Group Ltd.,Financial
4,CGXYF,China Galaxy Secs Reg Shs,Financial
5,HST,"Host Hotels &amp; Resorts, Inc. Common Stock",Financial
6,RSNHF,Resona Holdings Inc,Financial
7,CNA,CNA Financial Corporation Common Stock,Financial
8,RNR,RenaissanceRe Holdings Ltd. Common Stock,Financial
9,AGNC,AGNC Investment Corp. Common Stock,Financial
10,SWPRF,Swiss Prime Site Ag,Financial
11,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Financial
12,AIOAF,Sarossa PLC,Financial
13,BQCNF,Banque Cantonale Vaudoise,Financial
14,NTXFY,NATIXIS SA ADR,Financial
15,FNF,"FNF Group of Fidelity National Financial, Inc. Common Stock",Financial
16,COLD,Americold Realty Trust Common Shares,Financial
17,RE,"Everest Re Group, Ltd. Common Stock",Financial
18,VNO,Vornado Realty Trust Common Stock,Financial
19,SYFHF,Sony Financial Holdings Inc.,Financial
0,SMUUY,Siam Commercial Bank Public Co Ltd (The) ADR,Financial
1,FRFHF,Fairfax Financial Holdings Ltd,Financial
2,CNICF,China International Capital Corp,Financial
3,Y,Alleghany Corporation Common Stock,Financial
4,CINSF,China Taiping Insurance Holding Co. Ltd.,Financial
5,IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,Financial
6,DITTF,Daito Trust Construction Co. Ltd.,Financial
7,COGQF,Chongqing Rural Commercial Bank Co Ltd - Ordinary Shares - Class H,Financial
8,DXSPF,Dexus Property Gr,Financial
9,LNC,Lincoln National Corporation Common Stock,Financial
10,REG,Regency Centers Corporation Common Stock,Financial
11,MORN,"Morningstar, Inc. Common Stock",Financial
12,LDSCY,Land Securities Group Plc ADR (New),Financial
13,BKEAF,Bank Of East Asia Ltd Reg,Financial
14,CBSH,"Commerce Bancshares, Inc. Common Stock",Financial
15,BPHLF,Bank of the Philippine Islands,Financial
16,ITCFY,Investec Ltd ADR,Financial
17,OHI,"Omega Healthcare Investors, Inc. Common Stock",Financial
18,LAMR,Lamar Advertising Company Class A Common Stock,Financial
19,KRC,Kilroy Realty Corporation Common Stock,Financial
0,HULCF,Hulic Co Ltd (New),Financial
1,GLPI,"Gaming and Leisure Properties, Inc. Common Stock",Financial
2,NMMRF,Nomura Real Estate Master Fund Inc,Financial
3,CACC,Credit Acceptance Corporation Common Stock,Financial
4,ALLY,Ally Financial Inc. Common Stock,Financial
5,UHAL,Amerco Common Stock,Financial
6,PRGAF,Pargesa Holding Sa,Financial
7,ARCC,Ares Capital Corporation Common Stock,Financial
8,OCFT,"OneConnect Financial Technology Co., Ltd. American Depositary Shares, each representing three ordinary shares",Financial
9,BKEAY,Bank of East Asia Ltd. ADR (Sponsored),Financial
10,CFFHF,CIFI Holdings (Group) Co Ltd,Financial
11,CIB,BanColombia S.A. Common Stock,Financial
12,NHMAF,Nihon M &amp; A Center Inc,Financial
13,GULRF,Guoco Group,Financial
14,WARFF,Wharf (Holdings) Ltd. (The),Financial
15,FRT,Federal Realty Investment Trust Common Stock,Financial
16,AIZ,"Assurant, Inc. Common Stock",Financial
17,DCYHF,Discovery Ltd,Financial
18,MRVGF,Mirvac Group,Financial
19,HTA,"Healthcare Trust of America, Inc. Class A Common Stock",Financial
0,TDHOF,T&amp;D Holdings Inc,Financial
1,TYIBF,Turkiye Is Bankasi AS,Financial
2,PB,"Prosperity Bancshares, Inc. Common Stock",Financial
3,VOYA,"Voya Financial, Inc. Common Stock",Financial
4,RGA,"Reinsurance Group of America, Incorporated Common Stock",Financial
5,TMXXF,TMX Group Ltd,Financial
6,AIV,Apartment Investment and Management Company Common Stock,Financial
7,FAF,First American Corporation (New) Common Stock,Financial
8,LPLA,LPL Financial Holdings Inc. Common Stock,Financial
9,MDBPF,Medibank Private Limited - Ordinary Shares,Financial
10,AFG,"American Financial Group, Inc. Common Stock",Financial
11,GPTGF,Gpt Group Stapled Sec,Financial
12,MPCMF,Mapletree Commercial Trust Units Real Estate Investment Trust Reg S,Financial
13,VER,"VEREIT, Inc. Common Stock",Financial
14,GMYTF,GMO Payment Gateway Inc.,Financial
15,CPAMF,CapitaLand Mall Trust Units,Financial
16,NNN,National Retail Properties Common Stock,Financial
17,SBNY,Signature Bank Common Stock,Financial
18,CDEVF,City Developments Ltd. (Singapore),Financial
19,LLESF,Lendlease Group,Financial
0,GPFOY,Grupo Financiero Inbursa S.A. de C.V. (Mexico) ADR (Sponsored) repr Cl O Ord Shs,Financial
1,ATH,Athene Holding Ltd. Class A Common Shares,Financial
2,LLESY,LendLease Group ADR (Sponsored),Financial
3,IPSBF,Impulsora Del Desarrollo,Financial
4,IGIFF,IGM Financial Inc,Financial
5,KWGPF,KWG Group Holdings Ltd,Financial
6,ORCC,Owl Rock Capital Corporation Common Stock,Financial
7,SC,Santander Consumer USA Holdings Inc. Common Stock,Financial
8,TKGBF,Turkiye Garanti Bankasi A.S.,Financial
9,SBHGF,Sbi Holdings Inc Ord,Financial
10,AEG,AEGON N.V. Common Stock,Financial
11,WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),Financial
12,COR,CoreSite Realty Corporation Common Stock,Financial
13,CUBE,CubeSmart Common Shares,Financial
14,PBCT,"People's United Financial, Inc. Common Stock",Financial
15,EWBC,"East West Bancorp, Inc. Common Stock",Financial
16,RSNAY,RSA Insurance Group Plc ADR (Sponsored),Financial
17,BNMDF,Banca Mediolanum SpA,Financial
18,MDIBY,Mediobanca Banca Di Credito Finanziario SpA ADR,Financial
19,GZUHF,Guangzhou R &amp; F Properties Co. Ltd,Financial
0,GWWTF,Growthpoint Properties Ltd (South Africa),Financial
1,TKGBY,Turkiye Garanti Bankasi A.S. ADR (Sponsored) Repstg 2000 Shs,Financial
2,ARES,Ares Management Corporation Class A Common Stock,Financial
